title,x,y,cluster
The Secret in Their Eyes,-0.02101633398348848,0.002595807824816953,0
Nobody Knows,-0.01015849059142878,-0.03661365837182185,1
The Hidden Fortress,0.14143255063171975,0.02359477012140582,0
"Red, White & Royal Blue",-0.005597555313765382,-0.012996515319827609,1
All Your Faces,-0.04243304358117095,-0.03467176538222157,3
Autumn Sonata,0.0622598737449427,0.16557664436887848,2
Castle in the Sky,-0.01617056569822901,-0.06588654136738552,1
The Red Shoes,0.0794098544662076,-0.08979220779132079,2
Andrei Rublev,-0.016076039133915535,0.005286874222499279,3
Kill Bill: Vol. 1,-0.022890274331610307,0.012138086567062008,2
I'm Still Here,-0.06081057874429083,0.04106088298158576,2
Bohemian Rhapsody,-0.0012382976140981224,-0.05747917194142186,1
Toy Story,0.09726714876758498,0.04876022805276886,1
Chungking Express,-0.03088109047319881,-0.023767784730895223,1
La Notte,0.004398775430829182,0.014204862822720078,1
Love Exposure,0.0828567310291064,-0.012256712236436429,3
Before Sunrise,0.10263673212209874,-0.04292214108863194,1
Three Men and a Leg,-0.023633249437986618,0.08660386875473443,1
Trainspotting,-0.05918224138273852,-0.009168029241170576,0
Jurassic Park,-0.06773027824918891,-0.06744423933441805,0
Kitbull,-0.06704787481429626,-0.02509131201806636,1
Up,-0.04254788625387401,-0.03978220939418836,3
The Way He Looks,-0.0011829527460537406,-0.021740669559108163,3
Sanjuro,0.01906436494007522,0.022284863207177357,1
Mirror,-0.01877212402647387,-0.025016608241639163,3
Million Dollar Baby,0.19246531852834114,-0.06806719774442767,3
Whisper of the Heart,0.020032716465691686,-0.027771730116729537,2
Tel chi el telùn,-0.03169522995832057,-0.05419661743826361,3
Aliens,-0.07678109928118816,-0.052890247135061096,0
Nausicaä of the Valley of the Wind,0.11992098621636092,0.024093990651132463,0
The Iron Giant,-0.04752451783877225,-0.1047223809715882,0
The Treasure of the Sierra Madre,0.12711960567297995,-0.08204206503703801,0
The Sixth Sense,-0.0895941087812741,-0.014397801064462604,3
Flamin' Hot,-0.03566047932794923,0.07534635339017903,0
Pink Floyd: The Wall,-0.03441785094670215,0.03603136077921021,0
Ordet,-0.013610588022268503,0.10943895912769716,3
The Exterminating Angel,-0.06837184177228584,-0.0591852742542533,1
Farewell My Concubine,-0.009202742832667657,0.15720530292071852,1
A Man Escaped,-0.04782288989489428,0.0038536535401461837,0
No Country for Old Men,0.023893403110734318,-0.06775562348055791,0
The General,-0.045381215783310905,-0.022855264760771737,3
The Boy and the Beast,-0.07429948138216631,-0.027701367722152703,3
Spider-Man: No Way Home,-0.034537157319027914,-0.08553606710095323,3
The Great Escape,-0.02278467807842287,-0.02526684193528585,0
Rope,0.010256907931723304,0.004918595019926834,1
Braveheart,0.003660143387430339,-0.01544975329254589,0
Blade Runner,-0.03973554402225325,-0.07416795643536882,1
Castaway on the Moon,-0.03343081803369366,0.10093389731572786,3
Akira,0.16011778125062143,-0.06352006234362317,1
12 Years a Slave,-0.04942178874675436,-0.06407570434468836,3
Close-Up,0.017323469366996667,-0.029247111197936118,0
The Circus,-0.004421262871059255,0.1067691883546302,0
Guardians of the Galaxy Vol. 3,-0.04841143549977335,0.03083214909498544,0
When Marnie Was There,-0.028338892268100314,0.033299510223878157,3
Don't Look Now... We're Being Shot At!,0.21128680308075032,-0.11164982068519813,1
The Cure,-0.025118964168337598,-0.04219954044001156,1
